"","COMMON.NAME","OBSERVATION.MONTH","OBSERVATION.YEAR","total_bird_count"
"1","Aberrant Bush-Warbler",3,2001,35
"2","Accipiter sp.",4,1990,1
"3","Accipiter sp.",12,1991,67
"4","Accipiter sp.",10,1993,67
"5","Alexandrine Parakeet",12,1981,67
"6","Alexandrine Parakeet",7,1996,134
"7","Alexandrine Parakeet",8,1996,67
"8","Alexandrine Parakeet",11,2000,67
"9","Alexandrine Parakeet",1,2003,67
"10","Alexandrine Parakeet",2,2004,1
"11","Alexandrine Parakeet",5,2004,23
"12","Alexandrine Parakeet",6,2004,23
"13","Alexandrine Parakeet",9,2004,95
"14","Alexandrine Parakeet",10,2004,51
"15","Alexandrine Parakeet",11,2004,23
"16","Alpine Accentor",10,1994,67
"17","Alpine Swift",1,1979,35
"18","Alpine Swift",2,1984,1
"19","Alpine Swift",1,1996,67
"20","Alpine Swift",7,1997,201
"21","Alpine Swift",2,2004,67
"22","Apus sp.",7,1993,67
"23","Aquila sp.",12,1981,1
"24","Aquila sp.",9,2004,67
"25","Ashy Bulbul",3,1999,35
"26","Ashy Bulbul",4,1999,35
"27","Ashy Drongo",1,1979,23
"28","Ashy Drongo",2,1984,58
"29","Ashy Drongo",7,1993,67
"30","Ashy Drongo",12,1997,67
"31","Ashy Drongo",4,1999,1
"32","Ashy Drongo",11,2000,67
"33","Ashy Drongo",2,2003,67
"34","Ashy Drongo",4,2003,2
"35","Ashy Drongo",1,2004,127
"36","Ashy Drongo",2,2004,67
"37","Ashy Drongo",9,2004,157
"38","Ashy Drongo",10,2004,1
"39","Ashy Drongo",11,2004,1
"40","Ashy Prinia",12,1981,134
"41","Ashy Prinia",2,1984,23
"42","Ashy Prinia",4,1990,67
"43","Ashy Prinia",12,1991,67
"44","Ashy Prinia",8,1993,134
"45","Ashy Prinia",9,1993,67
"46","Ashy Prinia",10,1993,2
"47","Ashy Prinia",5,1994,56
"48","Ashy Prinia",7,1994,67
"49","Ashy Prinia",10,1995,67
"50","Ashy Prinia",7,1996,67
"51","Ashy Prinia",6,1997,111
