"","Scientific.name","SpcRecID","English.name","Family","Global.IUCN.Red.List.Category","Common.Name","Type.of.migration","Distribution.in.Indian.Sub.Continent","World.Distribution"
"1","Accipiter gentilis",3466,"Northern Goshawk","Accipitridae (Hawks, Eagles)","LC","Northern Goshawk","local resident & sparse winter visitor","Himalayas from Simla to Bhutan, Sind, Bangladesh","Holarctic, SE Tibet, N Myanmar"
"2","Accipiter nisus",3455,"Eurasian Sparrowhawk","Accipitridae (Hawks, Eagles)","LC","Eurasian Sparrowhawk","widespread winter visitor & resident","Baluchistan, Himalayas to Arunachal, N Afghanistan, Gilgit (Pakistan), N & SE Peninsula, S Assam hills, W & E Ghats, S Andaman","Palearctic, Africa to SE Asia"
"3","Accipiter soloensis",3428,"Chinese Sparrowhawk","Accipitridae (Hawks, Eagles)","LC","Chinese Goshawk","vagrant","Nicobar, Andaman","E Asia, Indonesia, Philippines"
"4","Acrocephalus agricola",7601,"Paddyfield Warbler","Acrocephalidae","LC","Paddyfield Warbler","widespread winter visitor","Terai, duars, N plains, C india, W Ghats, NE Bangladesh, E Afghanistan (Logar), Pakistan, N Baluchistan, Afghanistan","C Palearctic, NW China, SW Asia to North SE Asia"
"5","Acrocephalus bistrigiceps",7600,"Black-browed Reed-warbler","Acrocephalidae","LC","Black-browed Reed-Warbler","sparse winter visitor","N Subcontinent, Kashir to NE India, Bangladesh, Andamans, Chulta Bheel, Phalel, Manipur, Ladakh","NE Asia, SE Asia to W Indonesia"
"6","Acrocephalus dumetorum",7605,"Blyth's Reed-warbler","Acrocephalidae","LC","Blyth's Reed-Warbler","widespread winter visitor","S & N India, Bangladesh, Nepal, Sri Lanka, Pakistan, W,N & E Afghanistan","W & C Palearctic, Iran, Myanmar"
"7","Acrocephalus melanopogon",7596,"Moustached Warbler","Acrocephalidae","LC","Moustached Warbler","local resident & winter visitor","SE Afghanistan, Indus valley (Pakistan), NW India to Delhi, Oudh, Sehore (Madhya Pradesh, W & N Afghanistan, Baltistan","Palearctic"
"8","Aegypius monachus",3380,"Cinereous Vulture","Accipitridae (Hawks, Eagles)","NT","Cinereous Vulture","widespread winter visitor & local resident","Afghanistan, Baluchistan, Pakistan, NWFP, NW India to Bhutan, SW Kashmir, Cachar, C Bangladesh","C& S Palearctic"
"9","Alauda arvensis",1017239,"Eurasian Skylark","Alaudidae (Larks)","LC","Eurasian Skylark","sparse winter visitor","Afghanistan, Pakistan, Kashmir, Ladakh, W Gangetic plains","W Palearctic"
"10","Anas acuta",457,"Northern Pintail","Anatidae (Ducks, Geese, Swans)","LC","Northern Pintail","vagrant","SW & E Afghanistan, N Baluchistan, Indus valley, Sub-Himalayan region to Sri Lanka, Maldeves","Holarctic, N & S America, Cafrica, SE Asia, Philippines"
"11","Anas crecca",31027,"Common Teal","Anatidae (Ducks, Geese, Swans)","LC","Common Teal","widespread winter visitor","Afghanistan, Himalayas, Assam valley, Seistan, Bhutan, Kashmir, Sri Lanka, Maldives, Lakshadweep, Andamans","Holarctic, Tropic"
"12","Anas poecilorhyncha",32715,"Indian Spot-billed Duck","Anatidae (Ducks, Geese, Swans)","LC","Spot-billed Duck","widespread resident","Indus valley, N Baluchistan to Assam valley, S Assam hills, Bangladesh, Peninsula (Mannar), N Sri Lanka","S China, SE Asia"
"13","Anser albifrons",376,"Greater White-fronted Goose","Anatidae (Ducks, Geese, Swans)","LC","Greater White-fronted Goose","sparse winter visitor","N plains, Indus valley to E Uttar Pradesh, E India to Assam valley, Manipur, Chilka Lake, Afghanistan, Bangladesh","N & S Holarctic, W & E Myanmar"
"14","Anser anser",378,"Greylag Goose","Anatidae (Ducks, Geese, Swans)","LC","Greylag Goose","widespread winter visitor","Kandahar (SE Afghanistan), Baluchistan, N Gujarat, Panjab, Gangetic plains to Assam valley, Chilka Lake (Orissa), Sri Lanka, NW Himalayas, Indus valley","C Palearctic, SC Palearctic"
"15","Anser caerulescens",380,"Snow Goose","Anatidae (Ducks, Geese, Swans)","LC","Snow Goose","vagrant","N Kathiyawar Peninsula (Gujarat)","N America, E Siberia, Japan"
"16","Anser indicus",379,"Bar-headed Goose","Anatidae (Ducks, Geese, Swans)","LC","Bar-headed Goose","widespread winter visitor & local resident","Wakhan (NE Afghanistan), Ladakh, Indus Valley (Pakistan), N Plains, Assam valley, S Assam hills, Bangladesh, NE Peninsula, N Pakistan, Kashmir, Nepal, Bhutan","C Asia, Myanmar"
"17","Anthus campestris",8436,"Tawny Pipit","Motacillidae (Wagtails and pipits)","LC","Tawny Pipit","widespread winter visitor","Afghanistan, Pakistan to S W Bengal, Peninsula, SE Sri Lanka, Assam","W Palearctic to C Asia, C Africa, Mddle East"
"18","Anthus cervinus",8450,"Red-throated Pipit","Motacillidae (Wagtails and pipits)","LC","Red-throated Pipit","sparse passage migrant","NE Afghanistan, Indus valley (Pakistan), Himalayas, NE India, Maldives, S Andamans, Narcondam, Nicobars (Comorta)","N Palearctic, Alaska, Paleotropics"
"19","Anthus godlewskii",8437,"Blyth's Pipit","Motacillidae (Wagtails and pipits)","LC","Blyth's Pipit","widespread winter visitor","C & E Himalayas, Indian Peninsula, Sri Lanka, Nepal, Assam","S Siberia to China, SE Asia"
"20","Anthus hodgsoni",8447,"Olive-backed Pipit","Motacillidae (Wagtails and pipits)","LC","Olive-backed Pipit","widespread resident & winter visitor","Himalayas of Himachal to Arunachal, Rawal Lake (Pakistan), lower Himalayas to Adjacect plains, S Assam hills, Peninsula, Afghanistan, NW India, N Sri Lanka","C Palearctic, SE Asia, Philippines"
"21","Anthus richardi",1018054,"Richard's Pipit","Motacillidae (Wagtails and pipits)","LC","Richard's Pipit","widespread winter visitor","Most of Subcontinent, Sri Lanka, Bangladesh, S Andamans, N plains, NW Peninsula","E Asia, Paleotropics"
"22","Anthus rubescens",8454,"Buff-bellied Pipit","Motacillidae (Wagtails and pipits)","LC","Buff-bellied Pipit (American Pipit)","sparse winter visitor","Plains of N Subcontinent ( NE Afghanistan, N Pakistan, NE India), NC Pakistan","E Palearctic, N North America, ME & S China, S N America"
"23","Anthus spinoletta",8453,"Water Pipit","Motacillidae (Wagtails and pipits)","LC","Water Pipit","sparse winter visitor","NE Afghanistan, Pakistan, NW India, Afghanistan","Palearctic, Africa to China"
"24","Anthus trivialis",8446,"Tree Pipit","Motacillidae (Wagtails and pipits)","LC","Tree Pipit","local resident & widespread winter visitor","Himalayas of N Pakistan, Kashmir, Lahul, C India, Peninsula, Maldives, Lakshadweep","Palearctic, Africa, Middle East"
"25","Aquila heliaca",3535,"Eastern Imperial Eagle","Accipitridae (Hawks, Eagles)","VU","Imperial Eagle","widespread winter visitor","E Afghanistan, N plains, Montane valleys, Indus valley, Mekran coast, Bhutan, W bengal, Bangladesh","C & NE palearctic, E Africa, E Asia"
"26","Aquila nipalensis",3533,"Steppe Eagle","Accipitridae (Hawks, Eagles)","EN","Steppe Eagle","widespread winter visitor","E Afghanistan, N plains to Bhutan, Belgaum, C India, S Assam hills (E Meghalaya, Manipur), NW India","EC to NE Palearctic, Africa, SE Asia"
"27","Ardea cinerea",3715,"Grey Heron","Ardeidae (Herons)","LC","Grey Heron","widespread winter visitor & resident","NW & SW Afghanistan, Sind, NW & NE India, Kashmir, S Peninsula, Sri Lanka, NE & S Afghanistan to S Assam hills, Maldives, Lakshadweep, Andamans, Nicobars, Chagos","Eurasia, Africa"
"28","Ardea goliath",3722,"Goliath Heron","Ardeidae (Herons)","LC","Goliath Heron","vagrant & resident","Pakistan, C India, Culcutta, Assam, Sunderbans, SE & Bangladesh, Sri Lanka","Afica, Middle East"
"29","Ardea purpurea",3725,"Purple Heron","Ardeidae (Herons)","LC","Purple Heron","widespread winter visitor & resident","Seistan, Indus valley, NW India, NE & S Peninsula, Sri Lanka, Andamans, C Nicobars, N Andhra Pradesh, C Bangladesh, Maldives, Lakshadweep","S & C Eurasia, Africa"
"30","Arenaria interpres",3034,"Ruddy Turnstone","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC","Ruddy Turnstone","widespread winter visitor","Coasts from Baluchistan to Sri Lanka, Bangladesh, Maldives, Lakshadweep, Chagos, Andamans (South, small islets, Narcondam), C & S NIcobars, EC & NE Afghanistan (Lake Ab-i-Estada, Kabul), Kashmir, Gangetic plains, S Assam hills (Cachar, Manipur)","N Holarctic, Tropics"
