"Year","Lives Lost (in Nos.)","Cattle Lost (in Nos.)","House damaged (in Nos.)","Cropped areas affected (in lakh ha)"
"2001-02","834","21269","346878","18.72"
"2002-03","898","3729","462700","21"
"2003-04","1992","25393","682209","31.98"
"2004-05","1995","12389","1603300","32.53"
"2005-06","2698","110997","2120012","35.52"
"2006-07","2402","455619","1934680","70.87"
"2007-08","3764","119218","3527041","85.13"
"2008-09","3405","53833","1646905","35.56"
"2009-10","1677","128452","1359726","47.13"
"2010-11","2310","48778","1338619","46.25"
"2011-12","1600","9126","876168","18.87"
