"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"194","Coturnix coturnix","Common Quail","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"195","Coturnix japonica","Japanese Quail","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","NT"
"349","Dendrocygna bicolor","Fulvous Whistling-duck","Anatidae (Ducks, Geese, Swans)","LC"
"359","Oxyura leucocephala","White-headed Duck","Anatidae (Ducks, Geese, Swans)","EN"
"366","Cygnus olor","Mute Swan","Anatidae (Ducks, Geese, Swans)","LC"
"369","Cygnus cygnus","Whooper Swan","Anatidae (Ducks, Geese, Swans)","LC"
"371","Cygnus columbianus","Tundra Swan","Anatidae (Ducks, Geese, Swans)","LC"
"380","Anser caerulescens","Snow Goose","Anatidae (Ducks, Geese, Swans)","LC"
"379","Anser indicus","Bar-headed Goose","Anatidae (Ducks, Geese, Swans)","LC"
"378","Anser anser","Greylag Goose","Anatidae (Ducks, Geese, Swans)","LC"
"376","Anser albifrons","Greater White-fronted Goose","Anatidae (Ducks, Geese, Swans)","LC"
"490","Clangula hyemalis","Long-tailed Duck","Anatidae (Ducks, Geese, Swans)","VU"
"494","Bucephala clangula","Common Goldeneye","Anatidae (Ducks, Geese, Swans)","LC"
"497","Mergellus albellus","Smew","Anatidae (Ducks, Geese, Swans)","LC"
"502","Mergus merganser","Goosander","Anatidae (Ducks, Geese, Swans)","LC"
"402","Tadorna tadorna","Common Shelduck","Anatidae (Ducks, Geese, Swans)","LC"
"397","Tadorna ferruginea","Ruddy Shelduck","Anatidae (Ducks, Geese, Swans)","LC"
"1016940","Sarkidiornis melanotos","African Comb Duck","Anatidae (Ducks, Geese, Swans)","LC"
"414","Nettapus coromandelianus","Cotton Pygmy-goose","Anatidae (Ducks, Geese, Swans)","LC"
"467","Marmaronetta angustirostris","Marbled Teal","Anatidae (Ducks, Geese, Swans)","VU"
"469","Netta rufina","Red-crested Pochard","Anatidae (Ducks, Geese, Swans)","LC"
"472","Aythya ferina","Common Pochard","Anatidae (Ducks, Geese, Swans)","VU"
"478","Aythya baeri","Baer's Pochard","Anatidae (Ducks, Geese, Swans)","CR"
"476","Aythya nyroca","Ferruginous Duck","Anatidae (Ducks, Geese, Swans)","NT"
"480","Aythya fuligula","Tufted Duck","Anatidae (Ducks, Geese, Swans)","LC"
"482","Aythya marila","Greater Scaup","Anatidae (Ducks, Geese, Swans)","LC"
"460","Spatula querquedula","Garganey","Anatidae (Ducks, Geese, Swans)","LC"
"448","Spatula clypeata","Northern Shoveler","Anatidae (Ducks, Geese, Swans)","LC"
"428","Mareca falcata","Falcated Duck","Anatidae (Ducks, Geese, Swans)","NT"
"427","Mareca strepera","Gadwall","Anatidae (Ducks, Geese, Swans)","LC"
"429","Mareca penelope","Eurasian Wigeon","Anatidae (Ducks, Geese, Swans)","LC"
"32715","Anas poecilorhyncha","Indian Spot-billed Duck","Anatidae (Ducks, Geese, Swans)","LC"
"435","Anas platyrhynchos","Mallard","Anatidae (Ducks, Geese, Swans)","LC"
"457","Anas acuta","Northern Pintail","Anatidae (Ducks, Geese, Swans)","LC"
"31027","Anas crecca","Common Teal","Anatidae (Ducks, Geese, Swans)","LC"
"3628","Tachybaptus ruficollis","Little Grebe","Podicipedidae (Grebes)","LC"
"3638","Podiceps grisegena","Red-necked Grebe","Podicipedidae (Grebes)","LC"
"3639","Podiceps cristatus","Great Crested Grebe","Podicipedidae (Grebes)","LC"
"3641","Podiceps nigricollis","Black-necked Grebe","Podicipedidae (Grebes)","LC"
"3769","Phoenicopterus roseus","Greater Flamingo","Phoenicopteridae (Flamingos)","LC"
"3649","Phaethon rubricauda","Red-tailed Tropicbird","Phaethontidae (Tropicbirds)","LC"
"3650","Phaethon lepturus","White-tailed Tropicbird","Phaethontidae (Tropicbirds)","LC"
"2446","Columba leuconota","Snow Pigeon","Columbidae (Pigeons, Doves)","LC"
"2451","Columba eversmanni","Yellow-eyed Pigeon","Columbidae (Pigeons, Doves)","VU"
"2452","Columba palumbus","Common Woodpigeon","Columbidae (Pigeons, Doves)","LC"
"2461","Columba hodgsonii","Speckled Woodpigeon","Columbidae (Pigeons, Doves)","LC"
"2501","Streptopelia orientalis","Oriental Turtle-dove","Columbidae (Pigeons, Doves)","LC"
"2507","Streptopelia tranquebarica","Red Turtle-dove","Columbidae (Pigeons, Doves)","LC"
"1016946","Spilopelia chinensis","Eastern Spotted Dove","Columbidae (Pigeons, Doves)","LC"
"1016947","Spilopelia suratensis","Western Spotted Dove","Columbidae (Pigeons, Doves)","LC"
"2502","Spilopelia senegalensis","Laughing Dove","Columbidae (Pigeons, Doves)","LC"
"2513","Macropygia unchall","Barred Cuckoo-dove","Columbidae (Pigeons, Doves)","LC"
"2636","Treron curvirostra","Thick-billed Green-pigeon","Columbidae (Pigeons, Doves)","LC"
"2648","Treron apicauda","Pin-tailed Green-pigeon","Columbidae (Pigeons, Doves)","LC"
"2964","Pterocles orientalis","Black-bellied Sandgrouse","Pteroclidae (Sandgrouse)","LC"
"2962","Pterocles senegallus","Spotted Sandgrouse","Pteroclidae (Sandgrouse)","LC"
"2959","Pterocles alchata","Pin-tailed Sandgrouse","Pteroclidae (Sandgrouse)","LC"
"1016475","Caprimulgus indicus","Jungle Nightjar","Caprimulgidae (Nightjars)","LC"
"1016477","Caprimulgus jotaka","Grey Nightjar","Caprimulgidae (Nightjars)","LC"
"2401","Caprimulgus europaeus","European Nightjar","Caprimulgidae (Nightjars)","LC"
"2405","Caprimulgus mahrattensis","Sykes's Nightjar","Caprimulgidae (Nightjars)","LC"
"1750","Hirundapus caudacutus","White-throated Needletail","Apodidae (Swifts)","LC"
"1751","Hirundapus cochinchinensis","Silver-backed Needletail","Apodidae (Swifts)","LC"
"1016955","Aerodramus brevirostris","Himalayan Swiftlet","Apodidae (Swifts)","LC"
"1773","Tachymarptis melba","Alpine Swift","Apodidae (Swifts)","LC"
"1786","Apus acuticauda","Dark-rumped Swift","Apodidae (Swifts)","VU"
"1785","Apus pacificus","Pacific Swift","Apodidae (Swifts)","LC"
"1787","Apus affinis","Little Swift","Apodidae (Swifts)","LC"
"1776","Apus apus","Common Swift","Apodidae (Swifts)","LC"
"1192","Clamator jacobinus","Jacobin Cuckoo","Cuculidae (Cuckoos)","LC"
"1194","Clamator coromandus","Chestnut-winged Cuckoo","Cuculidae (Cuckoos)","LC"
"1241","Eudynamys scolopaceus","Western Koel","Cuculidae (Cuckoos)","LC"
