Scientific name,Common Name,Type of migration,Distribution in Indian Sub-Continent,World Distribution
Falco amurensis,Amur Falcon,widespread winter migrant,"C & E Himalayas, S Assam hills (E Meghalaya, Cachar, Manipur), Peninsula, Maldives, Sri Lanka","SE Asia, Bhutan, NE Asia, SE Africa"
Gavia arctica,Arctic Loon,vagrant,"Ambala, N Haryana","Palearctic, W N America"
Sterna paradisaea,Arctic Tern,vagrant,Kashmir,"N Holarctic, S Holarctic, Antarctic"
Phylloscopus borealis,Arctic Warbler,vagrant,Andamans (Little & South),"N Palearctic, Alaska, SE Asia, NW Australia"
Pericrocotus divaricatus,Ashy Minivet,vagrant,"C Peninsula,W Khandesh, Bombay, C & SE Bangladesh, Andamans","SE Asia, NE Asia"
Muscicapa dauurica,Asian Brown Flycatcher,local resident & widespread winter visitor,"Himalayas, N Pakistan (Murree hills), Nepal, Bhutan, C India, E Ghats, W Ghats, Peninsula, Sri Lanka, Andamans, Nicobar, Meghalaya, NE Bangladesh, Ladakh, NE Asia","Indonesia, Philippines"
Limnodromus semipalmatus,Asian Dowitcher,sparse winter visitor,"Ecoast India,Sri Lanka, SW Bengal (Calcutta), Bangladesh, Assam (Dibrugarh), Meghalaya (shillong-Baker)","C & E Asia, Australia"
Aythya baeri,Baer's Pochard,sparse winter visitor,"SE Nepal, Assam (hills & valley), NE Bangladesh, N Pakistan, Chilka Lake (Orissa)","SE Asia, NE Asia"
Anas formosa,Baikal Teal,vagrant,"Bihar, W Bengal, E Assam, sind, Panjab, Pakistan,NW India, NE Bangladesh, NE Afghanistan","N, C & S Asia"
Porzana pusilla,Baillon's Crake,"common winter visitor, some resident","EC Afghanistan(Shibar Kotal), Gilgit, Kashmir, SE & NW Afghanistan, Baluchistan, sind, C & S Bangladesh, Andamans,W Assam, SW Bengal, Sri Lanka, C,SW & NW India (Simla, Etawah, Deesa, Bihar, Kerala)","C & S Asia, Europe, Africa, Australia, Philippines"
Pterodroma baraui,Barau's Petrel,sparse summer visitor,"SW Indian Ocean, N Indian Ocean",Pelagic
Falco pelegrinoides,Barbary Falcon,sparse winter visitor,"Afghanistan, Baluchistan, Pakistan, W india, Gujarat,Delhi, Gangetic plain, N Madhya Pradesh","C Nepal, N Africa, WC Asia"
Anser indicus,Bar-headed Goose,widespread winter visitor & local resident,"Wakhan (NE Afghanistan), Ladakh, Indus Valley (Pakistan), N Plains, Assam valley, S Assam hills, Bangladesh, NE Peninsula, N Pakistan, Kashmir, Nepal, Bhutan","C Asia, Myanmar"
Hirundo rustica,Barn Swallow,widespread resident & winter visitor,"Afghanistan (Kandahar), Baluchistan hills, Himalayas, Chitral (Pakistan), Arunachal, S Assam hills, Bangladesh, Maldives, Sri Lanka, Lakshadweep, Andamans, Nicobar, Assam valley, calcutta, Manipur",Almost cosmopolitan
Sylvia nisoria,Barred Warbler,vagrant,"NE & NC Afghanistan, Gilgit, NW Himalayas, Ladakh","W & C Palearctic, Africa"
Limosa lapponica,Bar-tailed Godwit,widespread winter visitor,"Pakistan, W India, Bangladesh, Maldives, Sri Lanka, Lakshadweep, Nicobar, Indus Valley (Pakistan), NE Afghanistan","N Palearctic, Paleotropics"
Anser fabalis,Bean Goose,vagrant,"Nepal, Panjab, Assam,SE Bangladesh","N Palearctic, S Palearctic"
Melanocorypha bimaculata,Bimaculated Lark,sparse winter visitor,"Pakistan, W India, Delhi, N Maharashtra, SE & NE Afghanistan,N Afghanistan (Hindu Kush),Gilgit, Chitral",C & Middle E Asia
Anous minutus,Black Noddy,vagrant,"Lakshadweep, Nicobar, Minicoy, Mouth of Ganges, Sri Lanka","Pelagic, Pantropical oceans"
Phoenicurus ochruros,Black Redstart,local resident & widespread winter visitor,"N,C & S Afghanistan, Baluchistan, W & N Pakistan, Sikkim, Himalayas, S Assam hills , Sri Lanka","Palearctic, NE Africa, Myanmar"
Ciconia nigra,Black Stork,widespread winter visitor,"N Afghanistan, Pakistan, NW india,Assam valley, Gujarat, Delhi, C & S Bangladesh(Jamuna & Padma rivers), Sri Lanka","N & S Africa, E Asia"
Chlidonias niger,Black Tern,vagrant,"W & Peninsular India, Sri Lanka","W Palearctic, N America, W Coast of Africa, N Neotropics"
Pterocles orientalis,Black-bellied Sandgrouse,widespread winter visitor & resident,"Afghanistan, Baluchistan, Pakistan, NW india (Rajasthan, Gujarat), Karnataka, Nepal","SW Palearctic, C Asia"
Fregetta tropica,Black-bellied Storm-Petrel,vagrant,"W regional waters, Bay of Bengal",Subantartic & Antartic
Sterna acuticauda,Black-bellied Tern,widespread resident,"Indus Valley, NWFP (Pakistan), Gangetic Plains, Assam valley, Bangladesh, Rivers of C India, E Peninsula, SW Afghanistan",SE Asia
Turdus dissimilis,Black-breasted Thrush,sparse winter visitor,"S Assam hills (SE Arunachal to Manipur), E Bangladesh (Tippera hills)","S China, N & SE Asia"
Acrocephalus bistrigiceps,Black-browed Reed-Warbler,sparse winter visitor,"N Subcontinent, Kashir to NE India, Bangladesh, Andamans, Chulta Bheel, Phalel, Manipur, Ladakh","NE Asia, SE Asia to W Indonesia"
Milvus lineatus,Black-eared Kite,widespread winter visitor,"NW Himalayas, Kashmir, Sikkim,Plains of Pakistan, S Assam hills (E Meghalaya, Cachar, Manipur), EC Afghanistan","Tibet, NE Asia, SE Asia"
Emberiza spodocephala,Black-faced Bunting,sparse winter visitor,"Assam valley, S Assam hills,NE & EC Bangladesh, Terai, Duars, C Nepal",E Asia
Elseyornis melanops,Black-fronted Dotterel,vagrant,Pulicat Lake (Madras),"New Zealand, Australia"
Emberiza melanocephala,Black-headed Bunting,widespread winter visitor,"W India, E Nepal, Baluchistan, Pakistan, Iran, SE Sri Lanka","W Asia,E Europe"
Grus nigricollis,Black-necked Crane,"winter visitor, breeds in Ladakh","Ladakh, Kashmir, Sikkim, Bhutan, Nepal, W Bengal, Arunachal, Tibet","China, SE Asia"
Podiceps nigricollis,Black-necked Grebe,sparse winter visitor,"Iran, NE & SE Afghanistan, Baluchistan,Saline Lakes of Indus Valley (Pakistan), C Nepal, Gujarat,W Gangetic plain, E Assam valley, NE Bangladesh","Coastal Orissa, Pune, Holarctic, Africa"
Limosa limosa,Black-tailed Godwit,widespread winter visitor,"NW Afghanistan, Sind (Pakistan),Gangetic plain, Bihar, SE & C Nepal, Orissa, Manipur, NW Peninsula, Sri Lanka, E Afghanistan, Baluchistan, Lakshadweep, Maldives","W & C Palearctic, Africa, S Asia"
Prunella atrogularis,Black-throated Accentor,sparse winter visitor,"Afghanistan, Baluchistan, W Himalayas, N Pakistan, Nepal","S Tibet, W & C Asia"
Himantopus himantopus,Black-winged Stilt,local resident & widespread winter visitor,"N & SE Afghanistan, N Pakistan, Kashmir, SE & N Baluchistan, Sind & C Indus Valley (Pakistan), Bombay, Delhi, Andhra, Sri Lanka, E Afghanistan, Baluchistan, Lakshadweep, Maldives, Ladakh, Nepal, Himalayas",
Monticola solitarius,Blue Rock-Thrush,local resident & widespread winter visitor,"Afghanistan, Baluchistan, Himalayas, Nepal, Sri Lanka, S Andamans, Car Nicobar, Hill ranges of Subcontinent","Palearctic, Paleotropics"
Anthus godlewskii,Blyth's Pipit,widespread winter visitor,"C & E Himalayas, Indian Peninsula, Sri Lanka, Nepal, Assam","S Siberia to China, SE Asia"
Acrocephalus dumetorum,Blyth's Reed-Warbler,widespread winter visitor,"S & N India, Bangladesh, Nepal, Sri Lanka, Pakistan, W,N & E Afghanistan","W & C Palearctic, Iran, Myanmar"
Bombycilla garrulus,Bohemian Waxwing,vagrant,"Hills of Baluchistan, Karachi, Himalayas of Afghanistan-Pakistan, himalayas (india), Nepal",Holarctic
Hieraaetus pennatus,Booted Eagle,widespread winter visitor & local resident,"N,E Afghanistan, W,N Pakistan,Kashmir, Ladakh, C Nepal, Himalayas, Sind (Pakistan), W Assam, Peninsula, Sri Lanka, Bangladesh, S Andaman","S & C Palearctic, S Africa, S Asia"
Hippolais caligata,Booted Warbler,widespread winter visitor,"Peninsula, SE & W Bengal, Sri Lanka, N Afghanistan, Bangladesh, Ganges delta",W & C Palearctic
Aegolius funereus,Boreal Owl,vagrant,"N Himachal, N Pakistan",Holarctic
Fringilla montifringilla,Brambling,sparse winter visitor,"Afghanistan, N Baluchistan, Pakistan, NWFP, Himalayas, Nepal, Bhutan",N & S Palearctic
Limicola falcinellus,Broad-billed Sandpiper,sparse winter visitor,"Coasts from Baluchistan to Sri Lanka, Bangladesh, S Andamans, Nicobar, E Pakistan, Bihar","N Palearctic, Paleotropics"
Phylloscopus subviridis,Brooks's Leaf-Warbler,widespread winter visitor,"NE Afghanistan,Himalayas, chitral, Gilgit, Indus Valley, hills of N Pakistan, Rajasthan, Etawah, Himachal",C Asia
Sula leucogaster,Brown Booby,vagrant,"Lakshadweep, Maldives, Sri Lanka, Indian ocean",Islands of Tropical seas
Lanius cristatus,Brown Shrike,widespread winter visitor,"Himachal, Rajasthan, E Gujarat, Lakshadweep, Maldives, Sri Lanka, Andamans,Narcondam,N & C Nicobars, SL & SE coast of India","C & E Palearctic, E China, Indonesia"
Catharacta lonnbergi,Brown Skua,vagrant,"Sri Lanka, W India coast (Ratnagiri, S Maharastra, Udipi, Karnataka, Trivendrum), Lakshadweep, Maldives","Subantartic, Antartic, S oceans"
