species_name	count	observer_name	location_name	latitude	longitude	date
Fulvous Whistling-Duck 	40 	Karthikeyan Ponnambalamoorthy 	Sholinganallur/Perumbakkam Marsh 	12.9013508 	80.2198787 	Jan 1, 2017 
Lesser Whistling-Duck 	1 	Kole Birders 	Kole Wetlands--Adat--General Area 	10.5416667 	76.15625 	Jan 1, 2017 
whistling-duck sp.  	500 	Tarun Menon 	Deepor Beel WLS 	26.1130766 	91.6555989 	Jan 3, 2017 
Tundra Bean-Goose  	1 	Atanu Modak 	Teesta Barrage, Gajoldoba 	26.7477565 	88.5740089 	Jan 7, 2017 
Taiga/Tundra Bean-Goose  	1 	SANTANAB MAJUMDER 	Teesta Barrage, Gajoldoba 	26.7477565 	88.5740089 	Jan 25, 2017 
Greater White-fronted Goose  	1 	Pallab Prakash Saikia 	Rice field at Chepena-Kubua, Kaziranga 	26.6063326 	93.455286 	Jan 8, 2017 
Graylag Goose 	15 	Anup Chavda 	Thol Bird Sanctuary 	23.1331381 	72.4030352 	Jan 1, 2017 
Bar-headed Goose 	43 	Rohit Chakravarty 	Saiki Lake, Nagpur 	20.919034 	79.1763639 	Jan 1, 2017 
Domestic goose sp. (Domestic type) 	5 	Ramesh Ganeshan 	Sankey Tank, Bangalore 	13.0091507 	77.5741249 	Jan 2, 2017 
goose sp. 	12 	PANKAJ GUPTA 	RUGBY GROUND VASANT KUNJ 	28.5263302 	77.1577495 	Jan 2, 2017 
Comb Duck  	6 	Karthikeyan Ponnambalamoorthy 	Sholinganallur/Perumbakkam Marsh 	12.9013508 	80.2198787 	Jan 1, 2017 
Ruddy Shelduck 	8 	Aaditya  S Kumar 	CDA Sector 9 to Shelter Road 	20.4910647 	85.7993388 	Jan 1, 2017 
Common Shelduck 	1 	Ronit Dutta 	Panje, Uran 	18.9079792 	72.9492456 	Jan 1, 2017 
Muscovy Duck (Domestic type) 	1 	Tarachand Wanvari 	All around Sankey Tank, Bangalore 	13.0114153 	77.572639 	Feb 17, 2017 
Cotton Pygmy-Goose 	6 	raphy kallettumkara 	Kole Wetlands--Thommana 	10.3422356 	76.2513238 	Jan 1, 2017 
Gadwall 	6 	Anup Chavda 	Thol Bird Sanctuary 	23.1331381 	72.4030352 	Jan 1, 2017 
Falcated Duck 	1 	Rofikul Islam 	Agoratoli range, Kaziranga National Park 	26.6651783 	93.5614157 	Jan 6, 2017 
Eurasian Wigeon 	10 	Anup Chavda 	Thol Bird Sanctuary 	23.1331381 	72.4030352 	Jan 1, 2017 
Mallard 	2 	Viral  Pankaj 	Nalsarovar Bird Sanctuary 	22.7923445 	72.0231432 	Jan 1, 2017 
Mallard (Domestic type) 	2 	NaveenKumar Ganugapenta 	Agara Kere 	12.9214163 	77.6414967 	Jan 1, 2017 
Indian Spot-billed Duck 	8 	Niranjana C 	Kole Wetlands--Pullazhi 	10.5239949 	76.1580741 	Jan 1, 2017 
Eastern Spot-billed Duck 	1 	Pallab Prakash Saikia 	Agoratoli range, Kaziranga National Park 	26.6651783 	93.5614157 	Jan 12, 2017 
Northern Shoveler 	2 	naturesociety kottayam 	smruthyvanam 	9.3535452 	76.372447 	Jan 1, 2017 
Northern Pintail 	25 	Aaditya S Kumar 	CDA Sector 9 to Shelter Road 	20.4910647 	85.7993388 	Jan 1, 2017 
Garganey 	9 	Kole Birders 	Kole Wetlands--Palakkal 	10.4766717 	76.2036574 	Jan 1, 2017 
Green-winged Teal 	50 	Kole Birders 	Kole Wetlands--Palakkal 	10.4766717 	76.2036574 	Jan 1, 2017 
Andaman Teal 	2 	Andaman Avians Club 	Ograbraj Wetland 	11.6543236 	92.6631665 	Jan 8, 2017 
teal sp. 	2 	thirupam reddy 	Nigadi Lake 	15.4606706 	74.9736965 	Jan 4, 2017 
dabbling duck sp. 	30 	Anish Aravind 	IN-Kerala-Alleppey-688562 - 9.3752x76.3857 	9.375195 	76.385665 	Jan 1, 2017 
Marbled Teal 	10 	Sanjiv Khanna 	Talwara 	31.9541285 	75.8976102 	Feb 5, 2017 
White-winged Duck 	3 	Rofikul Islam 	Nameri National Park 	26.9324008 	92.8772163 	Jan 21, 2017 
Red-crested Pochard 	15 	Aaditya  S Kumar 	CDA Sector 9 to Shelter Road 	20.4910647 	85.7993388 	Jan 1, 2017 
Common Pochard 	6 	Anup Chavda 	Thol Bird Sanctuary 	23.1331381 	72.4030352 	Jan 1, 2017 
Ferruginous Duck 	2 	Anup Chavda 	Thol Bird Sanctuary 	23.1331381 	72.4030352 	Jan 1, 2017 
Baer's Pochard 	1 	Rofikul Islam 	Kaziranga National Park, Agaratali Range 	26.6923276 	93.5498929 	Jan 4, 2017 
Tufted Duck 	X 	Ameya Deshpande 	Jaikwadi Bird Sanctuary 	19.4779 	75.3656 	Jan 1, 2017 
Greater Scaup 	1 	André Weiss 	Maguri Beel 	27.5761558 	95.3944159 	Jan 1, 2017 
Aythya sp. 	1 	Vaidehi  Gunjal 	RenukaSagar Reservior backwaters 	15.7819625 	75.1080322 	Jan 1, 2017 
Smew 	1 	Prosenjit Dawn 	Teesta Barrage, Gajoldoba 	26.7477565 	88.5740089 	Jan 24, 2017 
Common Merganser 	12 	Rofikul Islam 	Roing 	28.1425406 	95.8431387 	Jan 1, 2017 
Red-breasted Merganser 	1 	Ronit Dutta 	IN-Maharashtra-Unnamed Road - 19.384x72.852 - 26 Dec 2016 09:06 	19.3840241 	72.8519209 	Jan 1, 2017 
duck sp. 	2000 	Kole Birders 	Kole Wetlands--Palakkal 	10.4766717 	76.2036574 	Jan 1, 2017 
waterfowl sp. 	15 	Anonymous eBirder 	Tirunelveli Mofussil Bus Terminus 	8.7025413 	77.7277609 	Jan 1, 2017 
Nicobar Scrubfowl 	4 	Angalan Rangasamy 	Great Nicobar Biosphere Reserve 	7.0602126 	93.8239288 	Jan 17, 2017 
Hill Partridge 	1 	Prosenjit Dawn 	Ghoom Bhanjyang 	27.0139635 	88.1966465 	Jan 3, 2017 
Rufous-throated Partridge 	1 	Rofikul Islam 	Eaglenest Wildlife Sanctuary 	27.1413402 	92.4652719 	Jan 28, 2017 
White-cheeked Partridge 	2 	André Weiss 	Jeypore Reserve Forest 	27.2247153 	95.4261732 	Jan 2, 2017 
Indian Peafowl 	4 	namassivayan lakshmanan 	KUMARAGIRI GROVES 	10.7473488 	76.7721391 	Jan 1, 2017 
Indian Peafowl (Domestic type) 	8 	Janhvi Vyas 	IN-Andaman and Nicobar Islands-Port Blair-Corbyns Cove Road - 11.643x92.743 	11.6428433 	92.7432 	Feb 22, 2017 
