time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-20T08:17:26.270Z,-27.044,-66.3764,168.57,4.6,mb,,29,3.443,1.37,us,us20008t9z,2017-03-20T08:35:48.040Z,"49km ENE of Hualfin, Argentina",earthquake,7.7,7.6,0.042,166,reviewed,us,us
2017-03-20T07:20:47.140Z,38.6073341,-121.878334,10.7,2.69,md,36,123,0.1602,0.15,nc,nc72778491,2017-03-20T08:11:01.472Z,"9km SE of Cottonwood, California",earthquake,0.29,0.26,0.23,29,automatic,nc,nc
2017-03-20T06:33:38.750Z,-5.3039,143.5796,109.2,5.2,mb,,22,4.976,1.07,us,us20008t9d,2017-03-20T06:53:43.040Z,"23km NW of Wabag, Papua New Guinea",earthquake,8.4,6.5,0.049,138,reviewed,us,us
2017-03-20T06:30:35.900Z,18.8789,-67.3476,28,2.8,Md,5,327.6,0.46622563,0.23,pr,pr17079002,2017-03-20T07:13:56.341Z,"50km NNW of San Antonio, Puerto Rico",earthquake,1.9,9.2,0,5,reviewed,pr,pr
2017-03-20T04:24:39.070Z,-8.3071,160.8849,64.42,5.1,mb,,63,1.456,0.72,us,us20008t93,2017-03-20T04:44:04.040Z,"54km NNE of Auki, Solomon Islands",earthquake,8.8,6.5,0.036,249,reviewed,us,us
2017-03-20T03:41:34.270Z,16.6292,-98.5268,15.61,4.1,mb,,203,0.929,1,us,us20008t8l,2017-03-20T04:15:25.040Z,"13km WSW of Ometepec, Mexico",earthquake,10.9,10.7,0.065,64,reviewed,us,us
2017-03-20T03:34:47.450Z,-18.0902,-178.0059,604.72,4.6,mb,,93,3.768,0.75,us,us20008t8k,2017-03-20T04:04:05.040Z,"292km NNE of Ndoi Island, Fiji",earthquake,7.5,7.1,0.053,106,reviewed,us,us
2017-03-20T03:01:06.760Z,-23.9199,-67.0009,234.32,4.3,ml,,218,2.186,0.59,us,us20008t8d,2017-03-20T03:20:30.040Z,"76km WNW of San Antonio de los Cobres, Argentina",earthquake,10.6,22.6,,,reviewed,us,guc
2017-03-20T00:39:21.950Z,-28.7705,-71.1273,61.75,4.3,mwr,,125,0.444,1.44,us,us20008t7q,2017-03-20T03:13:24.040Z,"42km WSW of Vallenar, Chile",earthquake,4.3,6.6,0.098,10,reviewed,us,us
2017-03-20T00:38:56.100Z,18.0095,-68.5175,72,3.3,Md,8,280.8,0.51653129,0.31,pr,pr17079001,2017-03-20T03:57:15.239Z,"41km SSE of Boca de Yuma, Dominican Republic",earthquake,4.2,3.5,0,4,reviewed,pr,pr
